trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-168.77976058029506,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,9,-22.765537245627666,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-90.11738462522898,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-76.25529232254259,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-160.25571654317443,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 4}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-158.25377041229177,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.29131544656634,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-130.30463107685662,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-79.21744219558576,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,7,-9.398528503172386,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-157.67127866308917,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,7.7279243445813295,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,9,-7.9004877042239965,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,14,-2.4223018168016286,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,-49.47213123343511,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,21,14.857171456153372,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,9.901513543425066,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,17,-73.73787362815247,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-10.697404729570561,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,12,-13.411790494644208,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,29.678777212270546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,19,-0.16275126696448083,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,-49.406549425830434,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,11,16.479263174757076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,21,18.93167840877281,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,14,14.586139284681597,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,12,35.19815397060559,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,13.171795233166185,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,17.287309761405645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,16,17.101505037594723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
