trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.28459433139332,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,14,-5.293039502342857,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-171.7549631604948,"{0: 13, 1: 7, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-51.28944716757938,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-150.51539284696054,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-58.14190138608518,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-90.82023063282529,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-109.46820138459829,"{0: 20, 1: 6, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,0,-119.25979050915964,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-140.4522535423174,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-68.36965385663595,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-165.704238473255,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-193.89227908847764,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,10,-11.428085463389845,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-91.04184938718308,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-14.100472722465767,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,15,-8.28623141401623,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,7,-51.88512179716723,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-106.96166737243564,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-71.44020337035845,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-180.073627459968,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,6,-60.67851050373889,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.6440364210831414}",35,0,-49.83770607537393,"{0: 28, 1: 0, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-113.94652957894208,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-163.6375757206028,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-71.96645189715343,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-7.878358081232526,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,0,-67.57334215849342,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-35.57862170801762,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-74.81046039950395,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,7,-0.18029211773777098,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,4,-81.74069105830222,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,8.573308446687335,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-114.04591336418368,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,12,-14.761057457104146,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,9,-67.63752865217486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,0,-8.309557608086486,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,18,5.117982080862451,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,14.985857854564005,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-62.64402173542234,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-35.83144262367825,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,-70.81320685025773,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-48.19808034351854,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,0,-7.84843975749044,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,13,3.3664648249591997,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
